,Hero,Role,Pick_rate,Win_rate,Tie_Rate,On_fire,Platform,Rank,Date
588,McCree,DAMAGE,1.97,43.81,1.88,9.11,PSN,Gold,2019-04-22 18:44:23
589,Genji,DAMAGE,1.95,45.69,1.9,8.18,PSN,Gold,2019-04-22 18:44:23
590,Ashe,DAMAGE,1.79,47.63,2.32,7.14,PSN,Gold,2019-04-22 18:44:23
591,Mei,DAMAGE,1.78,50.31,2.46,11.45,PSN,Gold,2019-04-22 18:44:23
592,Sombra,DAMAGE,1.7,42.44,2.15,12.64,PSN,Gold,2019-04-22 18:44:23
593,Torbjörn,DAMAGE,1.67,53.88,2.43,9.86,PSN,Gold,2019-04-22 18:44:23
594,Winston,TANK,1.65,46.2,1.89,4.72,PSN,Gold,2019-04-22 18:44:23
595,Widowmaker,DAMAGE,1.63,43.56,2.17,6.69,PSN,Gold,2019-04-22 18:44:23
596,Pharah,DAMAGE,1.57,46.1,2.37,10.04,PSN,Gold,2019-04-22 18:44:23
597,Tracer,DAMAGE,1.22,44.28,2.1,7.42,PSN,Gold,2019-04-22 18:44:23
598,Bastion,DAMAGE,1.2,46.97,3.14,14.14,PSN,Gold,2019-04-22 18:44:23
599,Doomfist,DAMAGE,1.12,47.82,2.01,7.25,PSN,Gold,2019-04-22 18:44:23
600,Reinhardt,TANK,9.66,50.01,2.62,7.81,PSN,Platinum,2019-04-22 18:44:23
601,Moira,SUPPORT,7.7,51.21,2.53,10.26,PSN,Platinum,2019-04-22 18:44:23
602,Mercy,SUPPORT,6.71,50.09,2.31,1.81,PSN,Platinum,2019-04-22 18:44:23
603,D.Va,TANK,5.65,51.74,2.58,8.52,PSN,Platinum,2019-04-22 18:44:23
604,Lúcio,SUPPORT,5.5,52.82,2.12,13.89,PSN,Platinum,2019-04-22 18:44:23
605,Baptiste,SUPPORT,4.64,49.61,2.42,12.5,PSN,Platinum,2019-04-22 18:44:23
606,Zarya,TANK,4.36,48.57,2.46,10.29,PSN,Platinum,2019-04-22 18:44:23
607,Ana,SUPPORT,4.18,47.09,2.35,9.29,PSN,Platinum,2019-04-22 18:44:23
608,Orisa,TANK,4.13,55.76,2.64,9.18,PSN,Platinum,2019-04-22 18:44:23
609,Roadhog,TANK,3.85,50.58,1.83,10.57,PSN,Platinum,2019-04-22 18:44:23
610,Hanzo,DAMAGE,3.31,47.93,2.34,13.98,PSN,Platinum,2019-04-22 18:44:23
611,Reaper,DAMAGE,3.31,51.26,1.93,17.66,PSN,Platinum,2019-04-22 18:44:23
612,Junkrat,DAMAGE,3.07,52.21,3.03,12.17,PSN,Platinum,2019-04-22 18:44:23
613,Wrecking Ball,TANK,3.04,51.6,1.89,3.42,PSN,Platinum,2019-04-22 18:44:23
614,Genji,DAMAGE,3.02,48.37,1.89,9.93,PSN,Platinum,2019-04-22 18:44:23
615,McCree,DAMAGE,2.89,47.81,1.82,10.59,PSN,Platinum,2019-04-22 18:44:23
616,Zenyatta,SUPPORT,2.87,51.75,2.32,7.13,PSN,Platinum,2019-04-22 18:44:23
617,Soldier: 76,DAMAGE,2.79,50.31,1.86,11.94,PSN,Platinum,2019-04-22 18:44:23
618,Widowmaker,DAMAGE,2.38,46.9,1.88,8.71,PSN,Platinum,2019-04-22 18:44:23
619,Ashe,DAMAGE,2.12,50.52,1.89,9.26,PSN,Platinum,2019-04-22 18:44:23
620,Winston,TANK,1.72,48.54,1.78,5.6,PSN,Platinum,2019-04-22 18:44:23
621,Pharah,DAMAGE,1.72,48.82,2.1,14.13,PSN,Platinum,2019-04-22 18:44:23
622,Brigitte,SUPPORT,1.69,57.46,1.6,12.78,PSN,Platinum,2019-04-22 18:44:23
623,Sombra,DAMAGE,1.69,46.52,2.39,15.06,PSN,Platinum,2019-04-22 18:44:23
624,Symmetra,DAMAGE,1.54,57.54,3.31,10.51,PSN,Platinum,2019-04-22 18:44:23
625,Torbjörn,DAMAGE,1.53,57.67,2.72,10.33,PSN,Platinum,2019-04-22 18:44:23
626,Tracer,DAMAGE,1.44,46.38,1.68,8.35,PSN,Platinum,2019-04-22 18:44:23
627,Mei,DAMAGE,1.33,51.94,2.38,11.25,PSN,Platinum,2019-04-22 18:44:23
628,Doomfist,DAMAGE,1.3,50.15,1.42,8.01,PSN,Platinum,2019-04-22 18:44:23
629,Bastion,DAMAGE,0.87,49.68,3.14,17.03,PSN,Platinum,2019-04-22 18:44:23
630,Reinhardt,TANK,8.74,51.41,2.42,7.93,PSN,Diamond,2019-04-22 18:44:23
631,Mercy,SUPPORT,7.3,52.63,2.13,2.12,PSN,Diamond,2019-04-22 18:44:23
632,Lúcio,SUPPORT,5.41,53.67,2.08,13.72,PSN,Diamond,2019-04-22 18:44:23
633,Moira,SUPPORT,5.4,53.78,2.01,10.37,PSN,Diamond,2019-04-22 18:44:23
634,Orisa,TANK,4.95,56.35,2.01,9.34,PSN,Diamond,2019-04-22 18:44:23
635,Roadhog,TANK,4.91,53.22,2.16,11.52,PSN,Diamond,2019-04-22 18:44:23
636,Baptiste,SUPPORT,4.91,51.62,2.11,12.98,PSN,Diamond,2019-04-22 18:44:23
637,Zarya,TANK,4.56,52.06,1.94,11.9,PSN,Diamond,2019-04-22 18:44:23
638,D.Va,TANK,4.3,53.75,2.11,8.38,PSN,Diamond,2019-04-22 18:44:23
639,Ana,SUPPORT,4.14,50.02,2.02,9.48,PSN,Diamond,2019-04-22 18:44:23
640,Hanzo,DAMAGE,3.89,49.65,1.87,14.82,PSN,Diamond,2019-04-22 18:44:23
641,McCree,DAMAGE,3.5,49.53,1.59,12.16,PSN,Diamond,2019-04-22 18:44:23
642,Wrecking Ball,TANK,3.49,53.96,1.58,3.85,PSN,Diamond,2019-04-22 18:44:23
643,Genji,DAMAGE,3.2,50.88,1.74,11.11,PSN,Diamond,2019-04-22 18:44:23
644,Soldier: 76,DAMAGE,3.09,52.15,1.6,12.46,PSN,Diamond,2019-04-22 18:44:23
645,Widowmaker,DAMAGE,3.01,50.57,2.02,10.31,PSN,Diamond,2019-04-22 18:44:23
646,Zenyatta,SUPPORT,2.76,54.54,2.15,6.52,PSN,Diamond,2019-04-22 18:44:23
647,Ashe,DAMAGE,2.46,53.42,1.66,10.56,PSN,Diamond,2019-04-22 18:44:23
648,Reaper,DAMAGE,2.41,53.49,1.87,17.13,PSN,Diamond,2019-04-22 18:44:23
649,Sombra,DAMAGE,2.2,48.83,2.18,16.48,PSN,Diamond,2019-04-22 18:44:23
650,Pharah,DAMAGE,2.13,50.46,1.92,15.31,PSN,Diamond,2019-04-22 18:44:23
651,Winston,TANK,1.78,49.61,1.37,6.13,PSN,Diamond,2019-04-22 18:44:23
652,Tracer,DAMAGE,1.78,48.09,1.89,8.65,PSN,Diamond,2019-04-22 18:44:23
653,Torbjörn,DAMAGE,1.76,55.45,2.15,10.24,PSN,Diamond,2019-04-22 18:44:23
654,Junkrat,DAMAGE,1.69,55.3,3.13,11.62,PSN,Diamond,2019-04-22 18:44:23
655,Brigitte,SUPPORT,1.42,56.12,2.01,12.49,PSN,Diamond,2019-04-22 18:44:23
656,Doomfist,DAMAGE,1.39,54.87,1.03,8.83,PSN,Diamond,2019-04-22 18:44:23
657,Symmetra,DAMAGE,1.33,57.43,2.42,10.39,PSN,Diamond,2019-04-22 18:44:23
658,Mei,DAMAGE,1.2,54.99,2.49,11.17,PSN,Diamond,2019-04-22 18:44:23
659,Bastion,DAMAGE,0.88,53.78,2.93,18.25,PSN,Diamond,2019-04-22 18:44:23
660,Mercy,SUPPORT,10.81,51.66,2.09,2.19,PSN,Master,2019-04-22 18:44:23
661,Orisa,TANK,7.68,56.48,1.94,9.48,PSN,Master,2019-04-22 18:44:23
662,Reinhardt,TANK,6.48,50.3,2.03,7.56,PSN,Master,2019-04-22 18:44:23
663,Roadhog,TANK,6.38,51.88,1.7,10.85,PSN,Master,2019-04-22 18:44:23
664,Lúcio,SUPPORT,6.07,54.02,1.78,13.47,PSN,Master,2019-04-22 18:44:23
665,Baptiste,SUPPORT,5.38,51.43,1.73,13.23,PSN,Master,2019-04-22 18:44:23
666,Hanzo,DAMAGE,4.79,47.52,1.77,15.09,PSN,Master,2019-04-22 18:44:23
667,Zarya,TANK,3.4,50.14,1.76,11.71,PSN,Master,2019-04-22 18:44:23
668,Wrecking Ball,TANK,3.32,54.18,1.63,4.08,PSN,Master,2019-04-22 18:44:23
669,Soldier: 76,DAMAGE,3.23,51.67,1.61,13.37,PSN,Master,2019-04-22 18:44:23
670,Widowmaker,DAMAGE,3.2,52.14,1.39,10.35,PSN,Master,2019-04-22 18:44:23
671,Ana,SUPPORT,3.14,50.35,2.15,9.84,PSN,Master,2019-04-22 18:44:23
672,McCree,DAMAGE,3.08,49.81,1.88,12.17,PSN,Master,2019-04-22 18:44:23
673,Pharah,DAMAGE,3.0,53.0,2.25,14.93,PSN,Master,2019-04-22 18:44:23
674,Moira,SUPPORT,2.97,53.94,1.63,10.31,PSN,Master,2019-04-22 18:44:23
675,D.Va,TANK,2.92,49.39,2.45,7.55,PSN,Master,2019-04-22 18:44:23
676,Genji,DAMAGE,2.85,51.28,1.56,12.62,PSN,Master,2019-04-22 18:44:23
677,Sombra,DAMAGE,2.5,50.24,2.01,15.51,PSN,Master,2019-04-22 18:44:23
678,Ashe,DAMAGE,2.3,53.26,1.94,11.77,PSN,Master,2019-04-22 18:44:23
679,Zenyatta,SUPPORT,2.15,52.6,1.44,5.91,PSN,Master,2019-04-22 18:44:23
680,Torbjörn,DAMAGE,2.04,52.42,1.99,9.15,PSN,Master,2019-04-22 18:44:23
681,Tracer,DAMAGE,1.86,48.1,1.56,9.58,PSN,Master,2019-04-22 18:44:23
682,Doomfist,DAMAGE,1.58,53.71,1.1,8.14,PSN,Master,2019-04-22 18:44:23
683,Reaper,DAMAGE,1.5,51.04,0.9,16.48,PSN,Master,2019-04-22 18:44:23
684,Symmetra,DAMAGE,1.46,57.07,1.85,9.19,PSN,Master,2019-04-22 18:44:23
685,Junkrat,DAMAGE,1.41,51.75,1.92,10.36,PSN,Master,2019-04-22 18:44:23
686,Winston,TANK,1.28,48.62,1.21,5.9,PSN,Master,2019-04-22 18:44:23
687,Brigitte,SUPPORT,1.24,56.24,1.25,11.87,PSN,Master,2019-04-22 18:44:23
688,Bastion,DAMAGE,1.16,52.85,3.18,16.85,PSN,Master,2019-04-22 18:44:23
689,Mei,DAMAGE,0.81,53.01,0.72,10.11,PSN,Master,2019-04-22 18:44:23
690,Mercy,SUPPORT,10.38,58.87,1.33,2.44,PSN,Grandmaster,2019-04-22 18:44:23
691,Orisa,TANK,9.9,59.62,1.6,12.58,PSN,Grandmaster,2019-04-22 18:44:23
692,Roadhog,TANK,7.93,58.36,1.74,12.65,PSN,Grandmaster,2019-04-22 18:44:23
693,Hanzo,DAMAGE,6.74,52.71,2.15,16.92,PSN,Grandmaster,2019-04-22 18:44:23
694,Soldier: 76,DAMAGE,5.52,57.34,1.5,14.71,PSN,Grandmaster,2019-04-22 18:44:23
695,Lúcio,SUPPORT,5.34,56.23,2.84,13.66,PSN,Grandmaster,2019-04-22 18:44:23
696,Pharah,DAMAGE,4.6,57.1,2.99,16.54,PSN,Grandmaster,2019-04-22 18:44:23
697,Baptiste,SUPPORT,4.17,58.04,2.31,14.94,PSN,Grandmaster,2019-04-22 18:44:23
698,Widowmaker,DAMAGE,4.15,52.36,1.49,12.53,PSN,Grandmaster,2019-04-22 18:44:23
699,McCree,DAMAGE,3.99,51.85,1.9,12.79,PSN,Grandmaster,2019-04-22 18:44:23
700,Sombra,DAMAGE,3.75,57.38,1.83,16.84,PSN,Grandmaster,2019-04-22 18:44:23
701,Reinhardt,TANK,3.38,58.51,1.83,9.5,PSN,Grandmaster,2019-04-22 18:44:23
702,Ashe,DAMAGE,3.25,60.95,2.33,14.55,PSN,Grandmaster,2019-04-22 18:44:23
703,Tracer,DAMAGE,3.04,54.23,1.13,11.33,PSN,Grandmaster,2019-04-22 18:44:23
704,Wrecking Ball,TANK,2.49,59.14,3.05,5.47,PSN,Grandmaster,2019-04-22 18:44:23
705,Bastion,DAMAGE,2.09,57.77,2.31,18.08,PSN,Grandmaster,2019-04-22 18:44:23
706,Zarya,TANK,2.08,53.06,2.65,14.98,PSN,Grandmaster,2019-04-22 18:44:23
707,Genji,DAMAGE,1.88,60.97,1.47,12.57,PSN,Grandmaster,2019-04-22 18:44:23
708,Torbjörn,DAMAGE,1.81,52.31,1.14,8.72,PSN,Grandmaster,2019-04-22 18:44:23
709,Symmetra,DAMAGE,1.71,57.26,0.4,8.12,PSN,Grandmaster,2019-04-22 18:44:23
710,Ana,SUPPORT,1.69,56.85,2.03,9.8,PSN,Grandmaster,2019-04-22 18:44:23
711,D.Va,TANK,1.69,51.44,0.82,9.55,PSN,Grandmaster,2019-04-22 18:44:23
712,Junkrat,DAMAGE,1.6,55.65,1.29,12.4,PSN,Grandmaster,2019-04-22 18:44:23
713,Zenyatta,SUPPORT,1.51,54.84,1.36,6.61,PSN,Grandmaster,2019-04-22 18:44:23
714,Doomfist,DAMAGE,1.43,56.59,0.97,8.91,PSN,Grandmaster,2019-04-22 18:44:23
715,Winston,TANK,1.03,53.42,2.67,9.26,PSN,Grandmaster,2019-04-22 18:44:23
716,Mei,DAMAGE,0.87,56.0,1.57,10.73,PSN,Grandmaster,2019-04-22 18:44:23
717,Reaper,DAMAGE,0.72,51.96,1.92,16.01,PSN,Grandmaster,2019-04-22 18:44:23
718,Moira,SUPPORT,0.71,46.08,0.97,12.29,PSN,Grandmaster,2019-04-22 18:44:23
719,Brigitte,SUPPORT,0.53,63.16,1.3,11.1,PSN,Grandmaster,2019-04-22 18:44:23
0,Reinhardt,TANK,12.08,52.1,2.61,7.15,PC,All,2020-05-24 11:54:16.967151
1,Ana,SUPPORT,10.8,49.92,2.36,9.81,PC,All,2020-05-24 11:54:16.967151
2,Moira,SUPPORT,8.28,49.95,2.45,10.52,PC,All,2020-05-24 11:54:16.967151
3,Zarya,TANK,7.51,52.9,2.47,12.39,PC,All,2020-05-24 11:54:16.967151
4,Mercy,SUPPORT,6.56,51.32,2.42,2.46,PC,All,2020-05-24 11:54:16.967151
5,McCree,DAMAGE,4.72,47.43,1.79,8.6,PC,All,2020-05-24 11:54:16.967151
6,LÃºcio,SUPPORT,4.36,51.76,2.06,11.86,PC,All,2020-05-24 11:54:16.967151
7,Ashe,DAMAGE,3.83,53.39,2.2,9.85,PC,All,2020-05-24 11:54:16.967151
8,Roadhog,TANK,3.4,49.7,1.75,9.34,PC,All,2020-05-24 11:54:16.967151
9,Sigma,TANK,3.07,50.85,2.22,12.9,PC,All,2020-05-24 11:54:16.967151
10,Genji,DAMAGE,2.93,50.54,2.17,11.95,PC,All,2020-05-24 11:54:16.967151
11,Soldier: 76,DAMAGE,2.38,49.48,1.86,9.78,PC,All,2020-05-24 11:54:16.967151
12,Junkrat,DAMAGE,2.15,52.12,2.65,11.61,PC,All,2020-05-24 11:54:16.967151
13,Wrecking Ball,TANK,2.15,50.94,1.86,3.02,PC,All,2020-05-24 11:54:16.967151
14,D.Va,TANK,2.05,48.38,2.11,6.53,PC,All,2020-05-24 11:54:16.967151
15,Echo,DAMAGE,2.01,50.35,1.94,7.51,PC,All,2020-05-24 11:54:16.967151
16,Winston,TANK,1.99,47.72,1.75,6.19,PC,All,2020-05-24 11:54:16.967151
17,Reaper,DAMAGE,1.94,50.56,1.86,13.61,PC,All,2020-05-24 11:54:16.967151
18,Brigitte,SUPPORT,1.93,55.7,1.79,7.04,PC,All,2020-05-24 11:54:16.967151
19,Baptiste,SUPPORT,1.83,46.5,2.59,11.44,PC,All,2020-05-24 11:54:16.967151
20,Doomfist,DAMAGE,1.63,52.35,1.88,7.41,PC,All,2020-05-24 11:54:16.967151
21,Orisa,TANK,1.62,49.77,1.95,6.77,PC,All,2020-05-24 11:54:16.967151
22,Hanzo,DAMAGE,1.6,47.44,2.09,10.41,PC,All,2020-05-24 11:54:16.967151
23,Tracer,DAMAGE,1.52,49.48,1.5,7.16,PC,All,2020-05-24 11:54:16.967151
24,Pharah,DAMAGE,1.51,54.15,1.85,14.75,PC,All,2020-05-24 11:54:16.967151
25,Zenyatta,SUPPORT,1.49,53.46,1.9,8.28,PC,All,2020-05-24 11:54:16.967151
26,Widowmaker,DAMAGE,1.28,50.44,1.49,6.62,PC,All,2020-05-24 11:54:16.967151
27,Torbjörn,DAMAGE,1.16,57.4,2.79,7.69,PC,All,2020-05-24 11:54:16.967151
28,Mei,DAMAGE,0.77,48.07,2.48,6.75,PC,All,2020-05-24 11:54:16.967151
29,Symmetra,DAMAGE,0.66,58.08,2.9,9.13,PC,All,2020-05-24 11:54:16.967151
30,Sombra,DAMAGE,0.47,47.34,1.84,12.21,PC,All,2020-05-24 11:54:16.967151
31,Bastion,DAMAGE,0.31,55.0,2.38,16.33,PC,All,2020-05-24 11:54:16.967151
32,Moira,SUPPORT,9.73,47.62,2.6,9.96,PC,Bronze,2020-05-24 11:55:05.315769
33,Reinhardt,TANK,9.03,48.86,2.71,7.48,PC,Bronze,2020-05-24 11:55:05.315769
34,Mercy,SUPPORT,7.8,46.39,2.38,1.76,PC,Bronze,2020-05-24 11:55:05.315769
35,Ana,SUPPORT,7.25,46.02,2.28,7.39,PC,Bronze,2020-05-24 11:55:05.315769
36,LÃºcio,SUPPORT,4.94,49.47,1.98,11.17,PC,Bronze,2020-05-24 11:55:05.315769
37,Zarya,TANK,4.92,48.83,2.59,8.94,PC,Bronze,2020-05-24 11:55:05.315769
38,Junkrat,DAMAGE,4.23,47.58,2.56,12.57,PC,Bronze,2020-05-24 11:55:05.315769
39,D.Va,TANK,4.04,44.32,2.59,6.29,PC,Bronze,2020-05-24 11:55:05.315769
40,Sigma,TANK,3.59,47.81,2.42,10.79,PC,Bronze,2020-05-24 11:55:05.315769
41,Orisa,TANK,3.45,48.09,2.51,5.8,PC,Bronze,2020-05-24 11:55:05.315769
42,Soldier: 76,DAMAGE,3.34,45.82,2.06,10.04,PC,Bronze,2020-05-24 11:55:05.315769
43,Reaper,DAMAGE,3.2,47.83,2.34,14.82,PC,Bronze,2020-05-24 11:55:05.315769
44,Roadhog,TANK,3.03,45.85,1.57,7.37,PC,Bronze,2020-05-24 11:55:05.315769
45,McCree,DAMAGE,2.97,44.61,1.48,8.43,PC,Bronze,2020-05-24 11:55:05.315769
46,Ashe,DAMAGE,2.7,48.92,2.2,7.76,PC,Bronze,2020-05-24 11:55:05.315769
47,Baptiste,SUPPORT,2.24,45.05,2.49,10.06,PC,Bronze,2020-05-24 11:55:05.315769
48,Genji,DAMAGE,2.07,45.18,2.18,9.15,PC,Bronze,2020-05-24 11:55:05.315769
49,Echo,DAMAGE,2.02,43.68,1.71,7.16,PC,Bronze,2020-05-24 11:55:05.315769
50,Wrecking Ball,TANK,1.99,47.83,2.21,2.62,PC,Bronze,2020-05-24 11:55:05.315769
51,Winston,TANK,1.94,46.27,1.47,5.53,PC,Bronze,2020-05-24 11:55:05.315769
52,Pharah,DAMAGE,1.86,48.53,1.92,11.2,PC,Bronze,2020-05-24 11:55:05.315769
53,Torbjörn,DAMAGE,1.81,55.27,3.48,10.44,PC,Bronze,2020-05-24 11:55:05.315769
54,Zenyatta,SUPPORT,1.72,50.11,2.69,9.48,PC,Bronze,2020-05-24 11:55:05.315769
55,Brigitte,SUPPORT,1.71,51.74,1.6,8.56,PC,Bronze,2020-05-24 11:55:05.315769
56,Hanzo,DAMAGE,1.53,43.93,2.02,9.64,PC,Bronze,2020-05-24 11:55:05.315769
57,Doomfist,DAMAGE,1.26,50.67,1.61,8.63,PC,Bronze,2020-05-24 11:55:05.315769
58,Mei,DAMAGE,1.1,44.53,2.06,7.56,PC,Bronze,2020-05-24 11:55:05.315769
59,Symmetra,DAMAGE,1.06,56.58,2.81,9.6,PC,Bronze,2020-05-24 11:55:05.315769
60,Tracer,DAMAGE,1.04,44.33,2.06,6.63,PC,Bronze,2020-05-24 11:55:05.315769
61,Bastion,DAMAGE,0.88,50.77,2.58,17.23,PC,Bronze,2020-05-24 11:55:05.315769
62,Widowmaker,DAMAGE,0.87,43.24,1.78,4.99,PC,Bronze,2020-05-24 11:55:05.315769
63,Sombra,DAMAGE,0.68,42.83,3.13,10.6,PC,Bronze,2020-05-24 11:55:05.315769
64,Reinhardt,TANK,10.68,51.15,2.45,6.97,PC,Silver,2020-05-24 11:55:53.912738
65,Moira,SUPPORT,9.91,48.64,2.37,10.1,PC,Silver,2020-05-24 11:55:53.912738
66,Ana,SUPPORT,8.38,47.82,2.19,8.28,PC,Silver,2020-05-24 11:55:53.912738
67,Mercy,SUPPORT,7.7,49.35,2.57,2.15,PC,Silver,2020-05-24 11:55:53.912738
68,Zarya,TANK,6.32,50.62,2.27,9.63,PC,Silver,2020-05-24 11:55:53.912738
69,LÃºcio,SUPPORT,4.13,51.17,2.03,11.66,PC,Silver,2020-05-24 11:55:53.912738
70,Junkrat,DAMAGE,3.92,50.2,2.5,12.09,PC,Silver,2020-05-24 11:55:53.912738
71,McCree,DAMAGE,3.69,45.91,1.72,8.11,PC,Silver,2020-05-24 11:55:53.912738
72,Ashe,DAMAGE,3.48,51.01,2.05,8.31,PC,Silver,2020-05-24 11:55:53.912738
73,Sigma,TANK,3.29,49.51,2.3,11.47,PC,Silver,2020-05-24 11:55:53.912738
74,Soldier: 76,DAMAGE,3.21,47.61,1.69,9.98,PC,Silver,2020-05-24 11:55:53.912738
75,Roadhog,TANK,3.11,46.85,1.78,7.78,PC,Silver,2020-05-24 11:55:53.912738
76,Reaper,DAMAGE,2.9,49.35,1.88,14.23,PC,Silver,2020-05-24 11:55:53.912738
77,D.Va,TANK,2.88,47.58,2.23,6.44,PC,Silver,2020-05-24 11:55:53.912738
78,Genji,DAMAGE,2.29,48.74,2.09,10.59,PC,Silver,2020-05-24 11:55:53.912738
79,Orisa,TANK,2.25,49.21,1.97,6.06,PC,Silver,2020-05-24 11:55:53.912738
80,Pharah,DAMAGE,2.2,53.37,1.96,13.32,PC,Silver,2020-05-24 11:55:53.912738
81,Echo,DAMAGE,2.1,48.23,1.85,7.2,PC,Silver,2020-05-24 11:55:53.912738
82,Winston,TANK,2.04,46.44,1.93,5.65,PC,Silver,2020-05-24 11:55:53.912738
83,Baptiste,SUPPORT,1.89,44.51,2.45,10.08,PC,Silver,2020-05-24 11:55:53.912738
84,Wrecking Ball,TANK,1.87,49.78,2.07,2.73,PC,Silver,2020-05-24 11:55:53.912738
85,Brigitte,SUPPORT,1.78,55.37,1.79,8.41,PC,Silver,2020-05-24 11:55:53.912738
86,Doomfist,DAMAGE,1.44,49.24,1.75,7.73,PC,Silver,2020-05-24 11:55:53.912738
87,Zenyatta,SUPPORT,1.36,49.94,1.82,8.87,PC,Silver,2020-05-24 11:55:53.912738
88,Torbjörn,DAMAGE,1.32,56.67,2.63,8.52,PC,Silver,2020-05-24 11:55:53.912738
89,Hanzo,DAMAGE,1.26,46.0,2.32,9.52,PC,Silver,2020-05-24 11:55:53.912738
90,Tracer,DAMAGE,1.08,45.23,1.26,6.54,PC,Silver,2020-05-24 11:55:53.912738
91,Mei,DAMAGE,0.97,46.74,2.48,7.72,PC,Silver,2020-05-24 11:55:53.912738
92,Widowmaker,DAMAGE,0.8,47.39,1.04,5.16,PC,Silver,2020-05-24 11:55:53.912738
93,Symmetra,DAMAGE,0.79,57.53,3.66,9.65,PC,Silver,2020-05-24 11:55:53.912738
94,Bastion,DAMAGE,0.53,54.66,2.87,17.81,PC,Silver,2020-05-24 11:55:53.912738
95,Sombra,DAMAGE,0.44,44.19,1.8,11.07,PC,Silver,2020-05-24 11:55:53.912738
96,Reinhardt,TANK,11.71,51.44,2.65,7.08,PC,Gold,2020-05-24 11:56:43.966592
97,Ana,SUPPORT,10.33,48.61,2.3,9.32,PC,Gold,2020-05-24 11:56:43.966592
98,Moira,SUPPORT,9.53,49.84,2.41,10.42,PC,Gold,2020-05-24 11:56:43.966592
99,Zarya,TANK,7.36,51.99,2.41,11.44,PC,Gold,2020-05-24 11:56:43.966592
100,Mercy,SUPPORT,7.04,51.01,2.43,2.35,PC,Gold,2020-05-24 11:56:43.966592
101,McCree,DAMAGE,4.55,46.47,1.7,8.45,PC,Gold,2020-05-24 11:56:43.966592
102,LÃºcio,SUPPORT,4.03,51.58,2.02,12.04,PC,Gold,2020-05-24 11:56:43.966592
103,Ashe,DAMAGE,3.81,52.62,2.25,9.28,PC,Gold,2020-05-24 11:56:43.966592
104,Roadhog,TANK,3.33,48.78,1.87,8.85,PC,Gold,2020-05-24 11:56:43.966592
105,Sigma,TANK,3.05,51.0,2.13,12.78,PC,Gold,2020-05-24 11:56:43.966592
106,Genji,DAMAGE,2.79,49.25,2.0,11.42,PC,Gold,2020-05-24 11:56:43.966592
107,Soldier: 76,DAMAGE,2.51,47.91,1.83,9.62,PC,Gold,2020-05-24 11:56:43.966592
108,Junkrat,DAMAGE,2.5,52.06,2.64,11.56,PC,Gold,2020-05-24 11:56:43.966592
109,Reaper,DAMAGE,2.3,49.97,1.75,13.7,PC,Gold,2020-05-24 11:56:43.966592
110,D.Va,TANK,2.15,48.59,2.09,6.89,PC,Gold,2020-05-24 11:56:43.966592
111,Echo,DAMAGE,2.04,49.51,1.95,7.4,PC,Gold,2020-05-24 11:56:43.966592
112,Winston,TANK,2.0,47.03,1.72,6.16,PC,Gold,2020-05-24 11:56:43.966592
113,Baptiste,SUPPORT,1.99,45.61,2.59,10.87,PC,Gold,2020-05-24 11:56:43.966592
114,Wrecking Ball,TANK,1.92,49.8,1.99,2.8,PC,Gold,2020-05-24 11:56:43.966592
115,Pharah,DAMAGE,1.84,53.85,1.89,14.7,PC,Gold,2020-05-24 11:56:43.966592
116,Brigitte,SUPPORT,1.67,55.43,1.73,8.02,PC,Gold,2020-05-24 11:56:43.966592
117,Doomfist,DAMAGE,1.56,51.06,1.92,7.55,PC,Gold,2020-05-24 11:56:43.966592
118,Orisa,TANK,1.5,50.3,2.02,7.04,PC,Gold,2020-05-24 11:56:43.966592
119,Zenyatta,SUPPORT,1.5,53.18,2.01,9.09,PC,Gold,2020-05-24 11:56:43.966592
120,Hanzo,DAMAGE,1.36,47.8,1.81,10.14,PC,Gold,2020-05-24 11:56:43.966592
121,Tracer,DAMAGE,1.27,49.68,1.69,7.01,PC,Gold,2020-05-24 11:56:43.966592
122,Torbjörn,DAMAGE,1.07,58.27,2.82,7.79,PC,Gold,2020-05-24 11:56:43.966592
123,Widowmaker,DAMAGE,0.92,49.96,1.15,5.99,PC,Gold,2020-05-24 11:56:43.966592
124,Mei,DAMAGE,0.84,46.88,2.04,7.18,PC,Gold,2020-05-24 11:56:43.966592
125,Symmetra,DAMAGE,0.73,58.52,2.89,9.39,PC,Gold,2020-05-24 11:56:43.966592
126,Sombra,DAMAGE,0.49,46.19,1.73,12.57,PC,Gold,2020-05-24 11:56:43.966592
127,Bastion,DAMAGE,0.31,55.88,2.52,16.23,PC,Gold,2020-05-24 11:56:43.966592
128,Reinhardt,TANK,12.96,52.26,2.67,7.31,PC,Platinum,2020-05-24 11:57:34.194215
129,Ana,SUPPORT,11.74,50.4,2.48,10.33,PC,Platinum,2020-05-24 11:57:34.194215
130,Zarya,TANK,8.32,53.6,2.53,13.17,PC,Platinum,2020-05-24 11:57:34.194215
131,Moira,SUPPORT,7.68,50.68,2.52,10.89,PC,Platinum,2020-05-24 11:57:34.194215
132,Mercy,SUPPORT,6.28,52.58,2.45,2.75,PC,Platinum,2020-05-24 11:57:34.194215
133,McCree,DAMAGE,5.21,47.72,1.84,8.94,PC,Platinum,2020-05-24 11:57:34.194215
134,Ashe,DAMAGE,4.2,54.32,2.19,10.38,PC,Platinum,2020-05-24 11:57:34.194215
